Class,Height,Width,Aspect Rateo
7,34,32,0.9411764705882353
12,53,49,0.9245283018867925
1,80,77,0.9625
3,107,108,1.0093457943925233
17,42,42,1.0
8,52,53,1.0192307692307692
38,46,49,1.065217391304348
38,31,28,0.9032258064516129
7,36,35,0.9722222222222222
13,60,59,0.9833333333333333
7,54,53,0.9814814814814815
34,83,75,0.9036144578313253
16,31,31,1.0
10,29,29,1.0
12,72,71,0.9861111111111112
18,71,76,1.0704225352112675
12,81,82,1.0123456790123457
1,74,74,1.0
10,57,62,1.087719298245614
25,62,71,1.1451612903225807
4,34,34,1.0
41,42,41,0.9761904761904762
13,82,87,1.0609756097560976
1,30,27,0.9
12,175,176,1.0057142857142858
38,41,40,0.975609756097561
7,33,32,0.9696969696969697
20,46,52,1.1304347826086956
3,62,61,0.9838709677419355
3,40,38,0.95
7,43,43,1.0
35,44,44,1.0
21,94,99,1.053191489361702
13,33,37,1.121212121212121
18,38,41,1.0789473684210527
25,35,37,1.0571428571428572
12,62,65,1.0483870967741935
9,68,63,0.9264705882352942
25,31,32,1.032258064516129
13,32,34,1.0625
28,63,71,1.126984126984127
38,48,49,1.0208333333333333
2,52,56,1.0769230769230769
24,67,73,1.0895522388059702
5,53,51,0.9622641509433962
38,31,30,0.967741935483871
38,29,29,1.0
8,74,74,1.0
12,35,35,1.0
23,49,53,1.0816326530612246
2,34,33,0.9705882352941176
38,51,49,0.9607843137254902
34,29,26,0.896551724137931
10,55,53,0.9636363636363636
13,46,51,1.108695652173913
35,33,31,0.9393939393939394
25,34,35,1.0294117647058822
1,134,118,0.8805970149253731
4,74,73,0.9864864864864865
12,110,108,0.9818181818181818
0,96,90,0.9375
16,41,40,0.975609756097561
12,88,88,1.0
27,44,48,1.0909090909090908
1,98,96,0.9795918367346939
32,51,51,1.0
18,96,106,1.1041666666666667
3,49,47,0.9591836734693877
1,50,51,1.02
13,60,71,1.1833333333333333
5,29,30,1.0344827586206897
34,29,29,1.0
21,73,77,1.0547945205479452
4,36,37,1.0277777777777777
30,36,39,1.0833333333333333
10,34,33,0.9705882352941176
9,73,74,1.0136986301369864
10,43,42,0.9767441860465116
34,60,52,0.8666666666666667
2,52,55,1.0576923076923077
14,49,43,0.8775510204081632
3,34,32,0.9411764705882353
3,106,101,0.9528301886792453
15,46,45,0.9782608695652174
25,37,38,1.027027027027027
25,48,51,1.0625
23,53,58,1.0943396226415094
9,28,27,0.9642857142857143
11,55,59,1.0727272727272728
1,63,63,1.0
14,45,44,0.9777777777777777
19,80,88,1.1
41,35,35,1.0
31,64,70,1.09375
14,53,53,1.0
33,43,42,0.9767441860465116
26,44,46,1.0454545454545454
13,46,50,1.0869565217391304
25,31,31,1.0
5,53,52,0.9811320754716981
33,65,64,0.9846153846153847
1,45,45,1.0
4,76,73,0.9605263157894737
38,35,35,1.0
42,31,34,1.096774193548387
4,47,47,1.0
17,33,29,0.8787878787878788
25,134,120,0.8955223880597015
8,44,44,1.0
8,27,29,1.0740740740740742
2,35,37,1.0571428571428572
42,28,27,0.9642857142857143
5,64,65,1.015625
4,52,50,0.9615384615384616
18,35,36,1.0285714285714285
6,29,26,0.896551724137931
13,33,36,1.0909090909090908
3,112,108,0.9642857142857143
38,32,32,1.0
29,71,46,0.647887323943662
2,84,76,0.9047619047619048
13,71,71,1.0
32,37,36,0.972972972972973
2,35,35,1.0
38,34,31,0.9117647058823529
11,153,172,1.1241830065359477
41,36,33,0.9166666666666666
8,62,61,0.9838709677419355
18,28,31,1.1071428571428572
28,65,76,1.1692307692307693
35,30,31,1.0333333333333334
4,49,47,0.9591836734693877
7,32,33,1.03125
17,32,30,0.9375
1,38,36,0.9473684210526315
12,55,55,1.0
37,29,29,1.0
39,54,52,0.9629629629629629
35,29,29,1.0
35,86,87,1.0116279069767442
40,73,71,0.9726027397260274
13,40,32,0.8
3,77,73,0.948051948051948
6,40,38,0.95
3,46,44,0.9565217391304348
10,39,41,1.0512820512820513
5,35,35,1.0
25,58,62,1.0689655172413792
38,29,28,0.9655172413793104
10,49,47,0.9591836734693877
35,64,63,0.984375
7,48,49,1.0208333333333333
21,43,46,1.069767441860465
23,93,106,1.1397849462365592
2,36,36,1.0
13,39,32,0.8205128205128205
4,26,27,1.0384615384615385
13,32,35,1.09375
4,36,35,0.9722222222222222
28,77,86,1.1168831168831168
12,39,40,1.0256410256410255
17,33,33,1.0
12,58,59,1.0172413793103448
18,46,46,1.0
18,86,96,1.1162790697674418
3,54,54,1.0
7,47,46,0.9787234042553191
10,37,36,0.972972972972973
13,31,33,1.064516129032258
22,28,32,1.1428571428571428
14,83,84,1.0120481927710843
7,56,55,0.9821428571428571
8,89,84,0.9438202247191011
17,35,36,1.0285714285714285
10,56,55,0.9821428571428571
5,71,72,1.0140845070422535
38,30,31,1.0333333333333334
7,33,34,1.0303030303030303
27,29,31,1.0689655172413792
1,91,92,1.010989010989011
11,34,36,1.0588235294117647
13,37,39,1.054054054054054
2,45,43,0.9555555555555556
20,37,36,0.972972972972973
25,35,36,1.0285714285714285
25,75,73,0.9733333333333334
25,48,47,0.9791666666666666
1,42,36,0.8571428571428571
18,62,61,0.9838709677419355
38,58,56,0.9655172413793104
31,51,55,1.0784313725490196
35,40,39,0.975
2,31,29,0.9354838709677419
38,70,70,1.0
35,40,39,0.975
38,32,31,0.96875
13,146,167,1.143835616438356
17,36,32,0.8888888888888888
27,50,55,1.1
11,94,107,1.1382978723404256
11,103,112,1.087378640776699
4,33,31,0.9393939393939394
17,28,26,0.9285714285714286
34,29,28,0.9655172413793104
9,40,40,1.0
38,49,45,0.9183673469387755
1,62,57,0.9193548387096774
38,41,35,0.8536585365853658
14,61,62,1.0163934426229508
41,28,30,1.0714285714285714
33,45,44,0.9777777777777777
18,44,44,1.0
23,112,129,1.1517857142857142
1,58,56,0.9655172413793104
7,40,40,1.0
10,53,56,1.0566037735849056
38,31,31,1.0
15,39,37,0.9487179487179487
7,38,39,1.0263157894736843
35,110,111,1.009090909090909
11,33,36,1.0909090909090908
41,45,43,0.9555555555555556
38,47,45,0.9574468085106383
13,42,43,1.0238095238095237
4,30,29,0.9666666666666667
8,38,38,1.0
38,26,26,1.0
11,81,89,1.0987654320987654
12,37,38,1.027027027027027
13,70,57,0.8142857142857143
17,49,49,1.0
12,52,52,1.0
8,36,36,1.0
6,30,28,0.9333333333333333
33,75,70,0.9333333333333333
10,26,26,1.0
27,47,46,0.9787234042553191
36,47,46,0.9787234042553191
38,35,34,0.9714285714285714
2,34,34,1.0
38,30,30,1.0
